date,open,high,low,close,volume
2025-07-08 13:27:00,7.27,7.27,7.25,7.25,2061682
2025-07-08 13:28:00,7.25,7.25,7.24,7.25,512619
2025-07-08 13:29:00,7.25,7.25,7.24,7.25,201331
2025-07-08 13:30:00,7.25,7.26,7.25,7.26,468027
2025-07-08 13:31:00,7.26,7.26,7.24,7.25,674920
2025-07-08 13:32:00,7.25,7.25,7.25,7.25,1235467
2025-07-08 13:33:00,7.25,7.25,7.24,7.24,1102412
2025-07-08 13:34:00,7.24,7.25,7.24,7.25,512421
2025-07-08 13:35:00,7.25,7.25,7.25,7.25,145895
2025-07-08 13:36:00,7.25,7.25,7.23,7.24,1365612
2025-07-08 13:37:00,7.24,7.25,7.23,7.25,601945
2025-07-08 13:38:00,7.25,7.26,7.24,7.25,1515148
2025-07-08 13:39:00,7.24,7.25,7.23,7.24,1493407
2025-07-08 13:40:00,7.24,7.24,7.23,7.23,2352985
2025-07-08 13:41:00,7.23,7.24,7.23,7.23,310976
2025-07-08 13:42:00,7.23,7.24,7.23,7.24,903044
2025-07-08 13:43:00,7.24,7.24,7.23,7.23,1210163
2025-07-08 13:44:00,7.23,7.24,7.23,7.24,224509
2025-07-08 13:45:00,7.24,7.24,7.24,7.24,1992874
2025-07-08 13:46:00,7.24,7.24,7.24,7.24,186003
2025-07-08 13:47:00,7.24,7.24,7.24,7.24,226720
2025-07-08 13:48:00,7.24,7.25,7.23,7.23,999346
2025-07-08 13:49:00,7.23,7.24,7.22,7.23,1914145
2025-07-08 13:50:00,7.23,7.24,7.23,7.23,112125
2025-07-08 13:51:00,7.23,7.24,7.23,7.24,1083761
2025-07-08 13:52:00,7.24,7.24,7.23,7.23,232071
2025-07-08 13:53:00,7.23,7.24,7.23,7.24,97618
2025-07-08 13:54:00,7.24,7.24,7.23,7.24,524308
2025-07-08 13:55:00,7.24,7.24,7.23,7.24,712086
2025-07-08 13:56:00,7.24,7.25,7.24,7.25,95887
2025-07-08 13:57:00,7.24,7.25,7.24,7.25,5765208
2025-07-08 13:58:00,7.25,7.25,7.25,7.25,3087355
2025-07-08 13:59:00,7.25,7.25,7.24,7.25,1058648
2025-07-08 14:00:00,7.25,7.25,7.25,7.25,2575377
2025-07-08 14:01:00,7.25,7.25,7.25,7.25,167339
2025-07-08 14:02:00,7.25,7.25,7.24,7.25,175101
2025-07-08 14:03:00,7.25,7.25,7.24,7.25,2098868
2025-07-08 14:04:00,7.25,7.26,7.25,7.26,4559177
2025-07-08 14:05:00,7.26,7.26,7.25,7.25,658956
2025-07-08 14:06:00,7.26,7.26,7.25,7.25,150878
2025-07-08 14:07:00,7.25,7.25,7.24,7.25,320804
2025-07-08 14:08:00,7.25,7.25,7.24,7.24,321477
2025-07-08 14:09:00,7.24,7.24,7.24,7.24,193678
2025-07-08 14:10:00,7.24,7.24,7.24,7.24,91588
2025-07-08 14:11:00,7.24,7.24,7.23,7.23,2221611
2025-07-08 14:12:00,7.23,7.24,7.23,7.23,105206
2025-07-08 14:13:00,7.23,7.23,7.23,7.23,121800
2025-07-08 14:14:00,7.23,7.23,7.23,7.23,112695
2025-07-08 14:15:00,7.23,7.24,7.23,7.23,41176
2025-07-08 14:16:00,7.23,7.23,7.23,7.23,182836
2025-07-08 14:17:00,7.23,7.24,7.23,7.24,246525
2025-07-08 14:18:00,7.24,7.25,7.23,7.24,1917816
2025-07-08 14:19:00,7.24,7.24,7.23,7.24,174020
2025-07-08 14:20:00,7.24,7.24,7.22,7.22,2754968
2025-07-08 14:21:00,7.23,7.23,7.22,7.23,884649
2025-07-08 14:22:00,7.23,7.23,7.22,7.23,219092
2025-07-08 14:23:00,7.23,7.23,7.22,7.23,37803
2025-07-08 14:24:00,7.22,7.23,7.22,7.22,138253
2025-07-08 14:25:00,7.23,7.23,7.22,7.23,144582
2025-07-08 14:26:00,7.23,7.23,7.22,7.22,130292
2025-07-08 14:27:00,7.23,7.23,7.22,7.22,113963
2025-07-08 14:28:00,7.22,7.23,7.22,7.23,337426
2025-07-08 14:29:00,7.22,7.23,7.22,7.23,157081
2025-07-08 14:30:00,7.23,7.23,7.22,7.22,329281
2025-07-08 14:31:00,7.22,7.23,7.22,7.23,468833
2025-07-08 14:32:00,7.23,7.23,7.22,7.22,141907
2025-07-08 14:33:00,7.22,7.23,7.22,7.23,148397
2025-07-08 14:34:00,7.23,7.23,7.22,7.22,124292
2025-07-08 14:35:00,7.22,7.23,7.22,7.22,207803
2025-07-08 14:36:00,7.22,7.23,7.22,7.23,611463
2025-07-08 14:37:00,7.23,7.23,7.22,7.23,348308
2025-07-08 14:38:00,7.23,7.23,7.22,7.23,218040
2025-07-08 14:39:00,7.23,7.23,7.22,7.23,128994
2025-07-08 14:40:00,7.22,7.23,7.22,7.22,508842
2025-07-08 14:41:00,7.23,7.23,7.22,7.22,116493
2025-07-08 14:42:00,7.23,7.23,7.22,7.23,269932
2025-07-08 14:43:00,7.23,7.24,7.22,7.24,498309
2025-07-08 14:44:00,7.23,7.24,7.23,7.23,216895
2025-07-08 14:45:00,7.23,7.24,7.23,7.24,68955
2025-07-08 14:46:00,7.23,7.24,7.23,7.23,113641
2025-07-08 14:47:00,7.23,7.24,7.23,7.24,44007
2025-07-08 14:48:00,7.24,7.24,7.23,7.23,29953
2025-07-08 14:49:00,7.24,7.24,7.23,7.23,101875
2025-07-08 14:50:00,7.23,7.24,7.23,7.23,64873
2025-07-08 14:51:00,7.24,7.24,7.23,7.24,263422
2025-07-08 14:52:00,7.24,7.24,7.23,7.24,258860
2025-07-08 14:53:00,7.24,7.24,7.23,7.24,28112
2025-07-08 14:54:00,7.24,7.25,7.23,7.25,2267397
2025-07-08 14:55:00,7.25,7.26,7.24,7.26,4398024
2025-07-08 14:56:00,7.26,7.26,7.25,7.25,268914
2025-07-08 14:57:00,7.26,7.26,7.25,7.25,393867
2025-07-08 14:58:00,7.25,7.26,7.25,7.25,1582285
2025-07-08 14:59:00,7.25,7.26,7.25,7.25,493474
2025-07-08 15:00:00,7.25,7.26,7.24,7.25,1708734
2025-07-08 15:01:00,7.25,7.26,7.25,7.26,1138708
2025-07-08 15:02:00,7.26,7.26,7.25,7.26,549924
2025-07-08 15:03:00,7.25,7.26,7.25,7.26,284087
2025-07-08 15:04:00,7.26,7.26,7.25,7.26,219549
2025-07-08 15:05:00,7.25,7.26,7.25,7.26,485500
2025-07-08 15:06:00,7.25,7.26,7.25,7.25,336273
2025-07-08 15:07:00,7.26,7.26,7.25,7.25,344278
2025-07-08 15:08:00,7.25,7.26,7.25,7.25,4085413
2025-07-08 15:09:00,7.26,7.28,7.26,7.28,27868507
2025-07-08 15:10:00,7.29,7.3,7.28,7.28,14319848
2025-07-08 15:11:00,7.28,7.29,7.28,7.28,3437770
2025-07-08 15:12:00,7.29,7.29,7.29,7.29,3797653
2025-07-08 15:13:00,7.29,7.29,7.28,7.28,1982444
2025-07-08 15:14:00,7.29,7.3,7.28,7.3,7741078
2025-07-08 15:15:00,7.3,7.31,7.3,7.3,4086281
2025-07-08 15:16:00,7.31,7.31,7.3,7.3,3114664
2025-07-08 15:17:00,7.3,7.32,7.3,7.31,2894513
2025-07-08 15:18:00,7.32,7.33,7.31,7.33,1545684
2025-07-08 15:19:00,7.32,7.34,7.32,7.33,3392391
2025-07-08 15:20:00,7.33,7.33,7.32,7.33,9527790
2025-07-08 15:21:00,7.32,7.33,7.32,7.33,2018137
2025-07-08 15:22:00,7.33,7.33,7.31,7.31,3195285
2025-07-08 15:23:00,7.32,7.32,7.31,7.31,698535
2025-07-08 15:24:00,7.31,7.33,7.31,7.32,3650999
2025-07-08 15:25:00,7.33,7.33,7.32,7.33,663456
2025-07-08 15:26:00,7.32,7.35,7.32,7.35,6107858
2025-07-08 15:27:00,7.36,7.36,7.34,7.35,2996470
2025-07-08 15:28:00,7.34,7.35,7.34,7.35,3205111
2025-07-08 15:29:00,7.35,7.36,7.35,7.35,6253198
