date,open,high,low,close,volume,vol_avg20,volatility_5,high_low_range,high_N,low_N,channel_mid,ema_8,ema_21,ema_50,vwap,rsi_14,supertrend,supertrend_dir,bb_upper,bb_lower,bb_mid,bb_width,atr,atr_median20,adx
2024-02-27 10:45:00,1419.9,1420.65,1419.2,1420.35,507612,444812.55,0.0020040462959089985,1.4500000000000455,1422.5,1413.05,1417.775,1418.829936130503,1421.5797632489866,,1417.4199075647011,37.398373983739816,1425.3870144709924,-1,1435.6654511418913,1410.054548858109,1422.8600000000001,0.01799959397536108,3.2949945164511525,3.331605685792666,35.79586217454102
2024-02-27 10:55:00,1420.35,1421.7,1418.8,1420.5,251466,446653.1,0.00117344392871944,2.900000000000091,1420.65,1413.05,1416.85,1419.2010614348358,1421.4816029536241,,1417.549926790769,40.38876889848816,1425.3870144709924,-1,1434.0848009661077,1410.3601990338925,1422.2225,0.01668135747551119,3.2554950648060466,3.3156177455726863,34.53191213134021
2024-02-27 11:05:00,1420.5,1421.0,1419.0,1419.4,192032,447475.7,0.001253159278829881,2.0,1421.7,1413.05,1417.375,1419.2452700048723,1421.2923663214765,1423.7839188174553,1417.6240818036904,42.98850574712662,1425.3870144709924,-1,1432.114363468131,1410.9006365318694,1421.5075000000002,0.014923401344179835,3.129945558325442,3.3156177455726863,33.35824423408232
2024-02-27 11:15:00,1419.2,1422.55,1419.0,1421.7,275253,454224.15,0.001000410848639704,3.5499999999999545,1421.7,1413.05,1417.375,1419.7907655593451,1421.329423928615,1423.7021965108884,1417.7801227527764,52.47747747747778,1425.3870144709924,-1,1429.781915393237,1412.018084606763,1420.9,0.012501816304084864,3.1719510024928934,3.3156177455726863,31.594785627712163
2024-02-27 11:25:00,1421.7,1422.15,1420.0,1420.65,209521,453309.2,0.0009800621660160402,2.150000000000091,1422.55,1413.05,1417.8,1419.9817065461573,1421.2676581169226,1423.5825025300692,1417.8847978080673,47.03196347031972,1425.3870144709924,-1,1427.7613789148895,1412.9686210851105,1420.365,0.010414758058512512,3.0697559022436134,3.3156177455726863,29.957288350368444
2024-02-27 11:35:00,1420.95,1421.45,1419.0,1419.9,222458,450902.25,0.001005094204532537,2.4500000000000455,1422.55,1413.05,1417.8,1419.9635495359003,1421.1433255608388,1423.438090666145,1417.9607841917398,51.11662531017381,1425.3870144709924,-1,1425.7231515714634,1414.0018484285365,1419.8625,0.008255238195900627,3.0077803120192566,3.3156177455726863,28.80455758276181
2024-02-27 11:45:00,1419.85,1420.9,1419.0,1420.25,125075,445137.4,0.0010129459620236792,1.900000000000091,1422.55,1413.05,1417.8,1420.027205194589,1421.062114146217,1423.3130675027667,1418.0000250183884,58.35616438356163,1425.3870144709924,-1,1424.5018680886556,1414.5931319113447,1419.5475000000001,0.006980207550160113,2.89700228081734,3.3156177455726863,27.73416472712708
2024-02-27 11:55:00,1420.65,1421.05,1419.55,1419.9,184702,434101.15,0.0009415814826295942,1.5,1422.55,1413.05,1417.8,1419.9989373735693,1420.956467405652,1423.1792217183445,1418.0584987919974,57.412398921832995,1425.3870144709924,-1,1423.5563192916343,1415.0336807083654,1419.2949999999998,0.006004839433147469,2.7573020527356062,3.29380569683798,26.66126307367249
2024-02-27 12:05:00,1419.95,1420.15,1418.6,1419.75,219125,408331.4,0.0003808897550590843,1.550000000000182,1422.55,1414.1,1418.3249999999998,1419.9436179572206,1420.8467885505927,1423.0447424352722,1418.1032208828187,53.33333333333359,1425.3870144709924,-1,1423.1637613893877,1415.1562386106125,1419.16,0.005642438328853237,2.636571847462064,3.2752447906285997,26.052369093229053
2024-02-27 12:15:00,1419.9,1420.0,1418.3,1419.7,164087,374803.9,0.000284235715082348,1.7000000000000455,1422.55,1417.35,1419.9499999999998,1419.8894806333938,1420.7425350459932,1422.9135760652616,1418.131150177796,52.21238938053099,1425.3870144709924,-1,1423.0705557198232,1415.1594442801768,1419.115,0.005574679599360343,2.5429146627158623,3.2752447906285997,25.607963712527752
